className,method,score
cn.nc.user.validation.BlankOrPatternValidator,cn.nc.user.validation.BlankOrPatternValidator#initialize,1
cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BookFinShchProductInstanceDto#setPublisherContactName,0
cn.nc.pub.msg.service.dto.other.InstanceSubStageRepayInfo,cn.nc.pub.msg.service.dto.other.InstanceSubStageRepayInfo#getReplayDate,1
cn.nc.user.reguser.converter.UserInfoRespConverter,cn.nc.user.reguser.converter.UserInfoRespConverter#toDtoList,0
cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController,cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController#doService,1
cn.nc.pub.msg.converter.MailSmtpMapper,cn.nc.pub.msg.converter.MailSmtpMapper#poToResp,0
cn.nc.user.archive.dto.FileArchiveSubDto,cn.nc.user.archive.dto.FileArchiveSubDto#setRemark,0
cn.nc.pub.msg.converter.MsgSendRecordMapper,cn.nc.pub.msg.converter.MsgSendRecordMapper#poPageToDtoPage,0
cn.nc.issuance.common.utils.CommonLogic,cn.nc.issuance.common.utils.CommonLogic#isCfae,1
cn.nc.user.index.facade.controller.GetStatisticsUserController,cn.nc.user.index.facade.controller.GetStatisticsUserController#getStatisticsUserListByLogin,1
cn.nc.channel.backend.service.dto.user.InstUserDto,cn.nc.channel.backend.service.dto.user.InstUserDto#getInstUserCode,1
cn.nc.common.message.base.facade.ReqHead,cn.nc.common.message.base.facade.ReqHead#setStartChnlFgCd,0
cn.nc.user.sync.query.dto.CfaeRegisterUserDto,cn.nc.user.sync.query.dto.CfaeRegisterUserDto#getLoginErrorCount,1
cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl,cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl#getPublisherNameStatistics,1
cn.nc.issuance.book.dcm.service.dto.directinvestor.DirectInvestorDetailDto,cn.nc.issuance.book.dcm.service.dto.directinvestor.DirectInvestorDetailDto#getAuditStatus,1
cn.nc.channel.auth.outer.service.impl.AppMobileLoginServiceImpl,cn.nc.channel.auth.outer.service.impl.AppMobileLoginServiceImpl#getUserLoginReqDto,2
cn.nc.pub.wkcl.service.dto.log.AuditLogRespDto,cn.nc.pub.wkcl.service.dto.log.AuditLogRespDto#setOperatorId,0
cn.nc.user.reguser.converter.UserIdentifyConverter,cn.nc.user.reguser.converter.UserIdentifyConverter#toDto,0
cn.nc.issuance.dist.facade.controller.PreViewDistController,cn.nc.issuance.dist.facade.controller.PreViewDistController#doService,1
cn.nc.issuance.dist.DistModuleApplication,cn.nc.issuance.dist.DistModuleApplication#main,0
cn.nc.operation.task.engine.service.TaskManageService,cn.nc.operation.task.engine.service.TaskManageService#getCurrentUserIds,7
cn.nc.common.message.base.page.PageResp,cn.nc.common.message.base.page.PageResp#setTotal,0
cn.nc.pub.msg.service.dto.excel.MsgEmailExportDto,cn.nc.pub.msg.service.dto.excel.MsgEmailExportDto#getContent,1
cn.nc.user.staff.service.impl.PositionServiceImpl,cn.nc.user.staff.service.impl.PositionServiceImpl#list,4
cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController,cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController#handle,1
cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto,cn.nc.issuance.book.dcm.query.service.dto.hisinfoquery.TemplateDto#getAuditCommenta,1
cn.nc.channel.backend.service.dto.changeremind.LayoutChangeRemindQueryReqDto,cn.nc.channel.backend.service.dto.changeremind.LayoutChangeRemindQueryReqDto#getRegisterUserId,1
cn.nc.channel.backend.service.dto.component.ComponentConfigQueryRespDto,cn.nc.channel.backend.service.dto.component.ComponentConfigQueryRespDto#getComponentType,1
