ID,className,METHOD,callchain,score
cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController#doService,cn.nc.issuance.dist.facade.controller.DistributionManageQueryDistInfoController,doService,3,3
cn.nc.user.index.facade.controller.GetStatisticsUserController#getStatisticsUserListByLogin,cn.nc.user.index.facade.controller.GetStatisticsUserController,getStatisticsUserListByLogin,1,1
cn.nc.issuance.dist.facade.controller.PreViewDistController#doService,cn.nc.issuance.dist.facade.controller.PreViewDistController,doService,8,174
cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController#handle,cn.nc.issuance.book.dcm.facade.controller.systemadmin.BondConfigModifyController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBankAccountListController#handle,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBankAccountListController,handle,1,1
cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController#doService,cn.nc.user.inst.facade.controller.QueryListInstMaintenanceHistoryController,doService,4,12
cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController#doService,cn.nc.issuance.book.dcm.query.facade.controller.purchaseManage.PurchaseOfferManageListController,doService,3,12
cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController#receiveBookCrmwProductInstance,cn.nc.pub.msg.facade.controller.outside.PubBookCrmwProductInstanceReceiveController,receiveBookCrmwProductInstance,1,1
cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController#doService,cn.nc.issuance.book.dcm.facade.controller.publishadmin.ConsignGroupOfferReplyController,doService,3,3
cn.nc.operation.base.facade.controller.work.WorkGroupSaveController#doService,cn.nc.operation.base.facade.controller.work.WorkGroupSaveController,doService,4,11
cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController#queryThirdUserRelList,cn.nc.user.reguser.facade.controller.QueryRegThirdUserRelListController,queryThirdUserRelList,1,1
cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController#handle,cn.nc.issuance.book.dcm.query.facade.controller.pricingplacing.BondCreateReachedBookController,handle,1,1
cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController#handle,cn.nc.issuance.book.dcm.query.facade.controller.systemadmin.SendPurchaseDetailQueryController,handle,1,1
cn.nc.user.reguser.facade.controller.UnbindThirdUserController#unbindThirdUserByCheckcode,cn.nc.user.reguser.facade.controller.UnbindThirdUserController,unbindThirdUserByCheckcode,1,1
cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController#doService,cn.nc.user.ukey.facade.controller.GetUkeyExpressDetailsController,doService,2,10
cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController#doService,cn.nc.issuance.dist.facade.controller.DistHisAgreDetailQueryController,doService,5,9
cn.nc.user.external.facade.controller.BussRoleListController#getInstRoleList,cn.nc.user.external.facade.controller.BussRoleListController,getInstRoleList,1,1
